country,group,n_vars,mean_slope,sd_slope,n_rising,n_falling,n_flat,all_same_sign,coherence_score,rising_vars,falling_vars,coherence_flag,group_direction
1,accountability_perceptions,5,-0.004960189389674605,0.029634621147343394,0,0,5,FALSE,1,,,DIVERGENT,FLAT
2,accountability_perceptions,5,0.009064677777430578,0.0844720377688453,2,1,2,FALSE,0.4,gov_courts_powerless; gov_elections_real_choice,gov_legislature_oversight,DIVERGENT,FLAT
3,accountability_perceptions,5,-0.02355537440244784,0.049902574727483856,1,2,2,FALSE,0.4,gov_elections_real_choice,gov_courts_powerless; gov_leaders_abuse_power,DIVERGENT,FLAT
4,accountability_perceptions,3,-0.03881374535793812,0.0582421587897837,0,2,1,FALSE,0.6666666666666666,,gov_courts_powerless; gov_leaders_abuse_power,DIVERGENT,FLAT
5,accountability_perceptions,5,-0.020652235379094816,0.051985890380444225,0,2,3,FALSE,0.6,,gov_legislature_oversight; gov_no_accountability_between_elections,DIVERGENT,FLAT
6,accountability_perceptions,5,-0.01347552450334601,0.04813121720858612,1,1,3,FALSE,0.6,gov_legislature_oversight,gov_leaders_abuse_power,DIVERGENT,FLAT
7,accountability_perceptions,5,-0.03580533609610216,0.02054318213217171,0,2,3,TRUE,0.6,,gov_leaders_abuse_power; gov_no_accountability_between_elections,DIVERGENT,FLAT
8,accountability_perceptions,5,0.018490685872526197,0.06787717795854896,2,1,2,FALSE,0.4,gov_courts_powerless; gov_elections_real_choice,gov_legislature_oversight,DIVERGENT,FLAT
9,accountability_perceptions,5,0.022264700933092775,0.060845438339162596,1,0,4,FALSE,0.8,gov_elections_real_choice,,DIVERGENT,FLAT
10,accountability_perceptions,5,0.004385819563052101,0.03596114132620967,0,0,5,FALSE,1,,,DIVERGENT,FLAT
11,accountability_perceptions,5,0.010565344347563871,0.052477220770879636,1,1,3,FALSE,0.6,gov_elections_real_choice,gov_courts_powerless,DIVERGENT,FLAT
12,accountability_perceptions,5,-0.008217804015872817,0.01600448710055271,0,0,5,FALSE,1,,,DIVERGENT,FLAT
13,accountability_perceptions,5,-0.034468242243564436,0.06353415060988099,1,1,3,FALSE,0.6,gov_leaders_abuse_power,gov_no_accountability_between_elections,DIVERGENT,FLAT
1,authoritarian_support,4,0.002136667386530824,0.02052478923294673,0,0,4,FALSE,1,,,DIVERGENT,FLAT
2,authoritarian_support,4,-0.031941266141669755,0.0042475515666101984,0,0,4,TRUE,1,,,DIVERGENT,FLAT
3,authoritarian_support,4,-0.00946833221456656,0.005944437318324801,0,0,4,TRUE,1,,,DIVERGENT,FLAT
4,authoritarian_support,3,-0.008903860686692149,0.012538103591702716,0,0,3,FALSE,1,,,DIVERGENT,FLAT
5,authoritarian_support,4,0.029361979788081766,0.024260137364119853,1,0,3,TRUE,0.75,expert_rule,,DIVERGENT,FLAT
6,authoritarian_support,4,0.019491226032157045,0.007463604577396087,0,0,4,TRUE,1,,,DIVERGENT,FLAT
7,authoritarian_support,4,-0.02601818819486562,0.004994970822211799,0,0,4,TRUE,1,,,DIVERGENT,FLAT
